indicator,base-per,Unit,Date,Value
ALL GROUPS,2014M12,Index,2014M12,100
ALL GROUPS,2014M12,Index,2015M1,97.58555611
ALL GROUPS,2014M12,Index,2015M2,98.42550657
ALL GROUPS,2014M12,Index,2015M3,99.74662676
ALL GROUPS,2014M12,Index,2015M4,100.034736
ALL GROUPS,2014M12,Index,2015M5,99.98332706
ALL GROUPS,2014M12,Index,2015M6,100.01735
ALL GROUPS,2014M12,Index,2015M7,103.981608
ALL GROUPS,2014M12,Index,2015M8,105.2929745
ALL GROUPS,2014M12,Index,2015M9,105.328269
ALL GROUPS,2014M12,Index,2015M10,100.13349
ALL GROUPS,2014M12,Index,2015M11,100.1298037
ALL GROUPS,2014M12,Index,2015M12,100.2921321
ALL GROUPS,2014M12,Index,2016M1,99.7768138
ALL GROUPS,2014M12,Index,2016M2,99.69783099
ALL GROUPS,2014M12,Index,2016M3,100.0137623
ALL GROUPS,2014M12,Index,2016M4,100.5560579
ALL GROUPS,2014M12,Index,2016M5,100.7362936
ALL GROUPS,2014M12,Index,2016M6,100.9093174
ALL GROUPS,2014M12,Index,2016M7,101.2554095
ALL GROUPS,2014M12,Index,2016M8,101.2086205
ALL GROUPS,2014M12,Index,2016M9,101.112105
ALL GROUPS,2014M12,Index,2016M10,100.8178649
ALL GROUPS,2014M12,Index,2016M11,103.6476581
ALL GROUPS,2014M12,Index,2016M12,101.5094716
ALL GROUPS,2014M12,Index,2017M1,102.3119565
ALL GROUPS,2014M12,Index,2017M2,101.6356825
ALL GROUPS,2014M12,Index,2017M3,101.5185534
ALL GROUPS,2014M12,Index,2017M4,102.889318
ALL GROUPS,2014M12,Index,2017M5,104.5573304
ALL GROUPS,2014M12,Index,2017M6,105.5802404
ALL GROUPS,2014M12,Index,2017M7,105.6633773
ALL GROUPS,2014M12,Index,2017M8,105.7458973
ALL GROUPS,2014M12,Index,2017M9,106.6707653
ALL GROUPS,2014M12,Index,2017M10,107.3479462
ALL GROUPS,2014M12,Index,2017M11,107.5518937
ALL GROUPS,2014M12,Index,2017M12,107.6921335
ALL GROUPS,2014M12,Index,2018M1,106.2352805
ALL GROUPS,2014M12,Index,2018M2,107.4257894
ALL GROUPS,2014M12,Index,2018M3,107.3905062
ALL GROUPS,2014M12,Index,2018M4,108.7317946
ALL GROUPS,2014M12,Index,2018M5,110.3196992
ALL GROUPS,2014M12,Index,2018M6,109.7625924
ALL GROUPS,2014M12,Index,2018M7,108.9395172
ALL GROUPS,2014M12,Index,2018M8,109.0870703
ALL GROUPS,2014M12,Index,2018M9,110.361435
ALL GROUPS,2014M12,Index,2018M10,111.6178267
ALL GROUPS,2014M12,Index,2018M11,111.8485192
ALL GROUPS,2014M12,Index,2018M12,111.1604276
ALL GROUPS,2014M12,Index,2019M1,109.617661
ALL GROUPS,2014M12,Index,2019M2,110.7476481
ALL GROUPS,2014M12,Index,2019M3,110.7915774
ALL GROUPS,2014M12,Index,2019M4,114.8903218
ALL GROUPS,2014M12,Index,2019M5,116.8103854
ALL GROUPS,2014M12,Index,2019M6,117.0093358
ALL GROUPS,2014M12,Index,2019M7,116.362748
ALL GROUPS,2014M12,Index,2019M8,115.4121572
ALL GROUPS,2014M12,Index,2019M9,116.0685162
ALL GROUPS,2014M12,Index,2019M10,116.247411
ALL GROUPS,2014M12,Index,2019M11,116.1048199
ALL GROUPS,2014M12,Index,2019M12,114.6355956
