indicator,base-per,Unit,Date,Value
"ALL GROUPS, weights",Not Applicable,Weight,2014M12,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M1,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M2,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M3,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M4,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M5,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M6,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M7,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M8,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M9,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M10,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M11,100
"ALL GROUPS, weights",Not Applicable,Weight,2015M12,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M1,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M2,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M3,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M4,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M5,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M6,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M7,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M8,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M9,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M10,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M11,100
"ALL GROUPS, weights",Not Applicable,Weight,2016M12,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M1,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M2,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M3,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M4,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M5,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M6,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M7,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M8,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M9,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M10,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M11,100
"ALL GROUPS, weights",Not Applicable,Weight,2017M12,100
"ALL GROUPS, weights",Not Applicable,Weight,2018M1,100
