date,temperature,precipitation,humidity,region,lat,lon
2015-01-01,27.22,0.0,64.38,Afgooye,2.14,45.12
2015-02-01,27.77,0.0,65.96,Afgooye,2.14,45.12
2015-03-01,28.34,0.75,67.1,Afgooye,2.14,45.12
2015-04-01,28.66,2.56,74.5,Afgooye,2.14,45.12
2015-05-01,27.92,2.72,78.24,Afgooye,2.14,45.12
2015-06-01,27.22,0.68,74.23,Afgooye,2.14,45.12
2015-07-01,26.19,1.4,73.45,Afgooye,2.14,45.12
2015-08-01,26.61,0.89,71.72,Afgooye,2.14,45.12
2015-09-01,27.55,0.15,70.51,Afgooye,2.14,45.12
2015-10-01,28.14,2.25,74.46,Afgooye,2.14,45.12
2015-11-01,27.43,6.3,79.43,Afgooye,2.14,45.12
2015-12-01,27.97,1.05,73.24,Afgooye,2.14,45.12
2016-01-01,28.38,0.05,66.26,Afgooye,2.14,45.12
2016-02-01,28.41,0.25,65.3,Afgooye,2.14,45.12
2016-03-01,29.88,0.09,67.14,Afgooye,2.14,45.12
2016-04-01,29.39,4.49,71.3,Afgooye,2.14,45.12
2016-05-01,27.38,3.15,78.65,Afgooye,2.14,45.12
2016-06-01,26.68,0.57,74.09,Afgooye,2.14,45.12
2016-07-01,25.43,0.23,71.25,Afgooye,2.14,45.12
2016-08-01,25.84,0.3,71.53,Afgooye,2.14,45.12
2016-09-01,26.24,0.04,69.61,Afgooye,2.14,45.12
2016-10-01,27.33,0.02,69.44,Afgooye,2.14,45.12
2016-11-01,28.31,0.81,69.04,Afgooye,2.14,45.12
2016-12-01,28.22,0.55,67.0,Afgooye,2.14,45.12
2017-01-01,27.89,0.0,62.95,Afgooye,2.14,45.12
2017-02-01,28.33,0.07,66.53,Afgooye,2.14,45.12
2017-03-01,29.05,0.01,65.41,Afgooye,2.14,45.12
2017-04-01,29.54,0.6,67.31,Afgooye,2.14,45.12
2017-05-01,28.7,0.53,70.86,Afgooye,2.14,45.12
2017-06-01,27.32,1.0,72.42,Afgooye,2.14,45.12
2017-07-01,26.63,0.06,70.28,Afgooye,2.14,45.12
2017-08-01,26.71,0.57,71.0,Afgooye,2.14,45.12
2017-09-01,27.06,0.1,69.52,Afgooye,2.14,45.12
2017-10-01,27.78,1.08,71.14,Afgooye,2.14,45.12
2017-11-01,27.62,4.35,73.85,Afgooye,2.14,45.12
2017-12-01,27.81,0.0,64.32,Afgooye,2.14,45.12
2018-01-01,27.15,0.0,64.72,Afgooye,2.14,45.12
2018-02-01,27.99,0.01,67.78,Afgooye,2.14,45.12
2018-03-01,29.19,0.28,66.21,Afgooye,2.14,45.12
2018-04-01,28.41,3.18,74.75,Afgooye,2.14,45.12
2018-05-01,27.79,0.43,77.65,Afgooye,2.14,45.12
2018-06-01,27.02,0.51,71.1,Afgooye,2.14,45.12
2018-07-01,26.01,0.14,70.43,Afgooye,2.14,45.12
2018-08-01,25.65,2.05,74.41,Afgooye,2.14,45.12
2018-09-01,26.92,0.08,71.92,Afgooye,2.14,45.12
2018-10-01,27.55,0.56,71.06,Afgooye,2.14,45.12
2018-11-01,28.62,0.38,68.86,Afgooye,2.14,45.12
2018-12-01,28.62,0.14,67.39,Afgooye,2.14,45.12
