indicator,Unit,Date,Value
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M1,22285
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M2,22196
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M3,22211
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M4,22232
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M5,22265
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M6,22212
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M7,22263
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M8,22273
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M9,22269
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M10,22284
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M11,22275
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2015M12,22286
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M1,22688
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M2,22736
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M3,22751
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M4,22940
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M5,23017
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M6,22993
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M7,23037
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M8,23043
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M9,22990
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M10,23057
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M11,23528
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2016M12,23961
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M1,23994
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M2,21526
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M3,21197
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M4,23437
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M5,23622
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M6,23245
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M7,23259
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M8,23197
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M9,23203
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M10,23365
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M11,23595
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2017M12,23536
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M1,23566
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M2,23547
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M3,23307
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M4,23417
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M5,23394
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M6,23581
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M7,24418
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M8,24395
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M9,24437
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M10,24457
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M11,24464
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2018M12,24468
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M1,24530
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M2,24476
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M3,24467
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M4,24472
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M5,24663
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2019M6,25012
