ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,maize,oil,rice,sorghum,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,1/1/2007,2007,1,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,1777.32,1894.22,1720.47,1785.29,,7.5,31597.15,31959.89,31335.23,31606.68,,7.2,7433.36,7742.38,7259.41,7448.04,,7.4,1382.67,1487.32,1335.56,1390.19,,6.7,0.52,0.54,0.52,0.53,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2/1/2007,2007,2,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,1815.45,1902.71,1728.19,1792.55,,7.5,31657.11,31969.53,31344.68,31950.23,,7.2,7515.71,7757.67,7273.75,7515.39,,7.4,1419.12,1527.72,1342.83,1527.72,,6.7,0.53,0.54,0.52,0.53,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,3/1/2007,2007,3,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,1810.63,1896.2,1725.06,1874.99,,7.5,32034.14,32343.47,31724.82,32152.5,,7.2,7580.17,7747.85,7414.28,7747.85,,7.4,1573.08,1658.76,1487.41,1633.61,,6.7,0.54,0.54,0.53,0.54,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,4/1/2007,2007,4,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,1907.1,2006.31,1819.15,2006.31,,7.5,32241.76,32663.02,31961.29,32663.02,,7.2,7816.72,8094.93,7622.42,8094.93,,7.4,1679.51,1764.32,1594.7,1666.87,,6.7,0.54,0.55,0.54,0.55,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,5/1/2007,2007,5,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,2064.94,2158.19,1971.68,2107.39,,7.5,32785.79,33131.14,32440.43,32589.01,,7.2,8222.62,8559.69,7967.76,8559.69,,7.4,1697.53,1775.47,1619.58,1667.4,,6.7,0.56,0.57,0.55,0.56,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,6/1/2007,2007,6,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,2180.7,2276.53,2084.87,2250.82,,7.5,32675.8,33223.63,32378.17,33223.63,,7.2,8724.52,9086.02,8424.1,9086.02,,7.4,1683.13,1857.44,1611.43,1857.44,,6.7,0.56,0.58,0.56,0.58,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,7/1/2007,2007,7,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,2321.95,2672.3,2221.42,2672.3,,7.5,33350.4,33859.53,32958.71,33859.53,,7.2,9306.35,10018.16,8980.65,10018.16,,7.4,1900.77,2194.6,1801.06,2194.6,,6.7,0.59,0.61,0.58,0.61,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,8/1/2007,2007,8,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,2870.45,3003.16,2737.74,2850.76,,7.5,34034.15,34437.38,33642.76,34437.38,,7.2,10346.99,10969.65,9781.83,10969.65,,7.4,2286.29,2446.53,2126.06,2315.55,,6.7,0.62,0.63,0.61,0.63,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,9/1/2007,2007,9,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,3025.33,3180.02,2887.14,3180.02,,7.5,34637.66,35000.3,34275.02,34613.33,,7.2,11402.62,11944.91,10860.33,11937.27,,7.4,2385.11,2533.67,2236.55,2468.52,,6.7,0.64,0.65,0.63,0.65,,7.2
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,10/1/2007,2007,10,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan-07,Oct-25,18.74,16.71,0.89,0,,,,,3363.38,3516.1,3090.28,3090.28,,7.5,34781.26,35080.61,34481.92,34687.38,,7.2,12390.91,12883.23,11898.58,11938.56,,7.4,2529.96,2673.23,2386.69,2514.74,,6.7,0.66,0.67,0.65,0.65,,7.2
