Region,Population,Month,Year
Awdal,305455,February,2015
Bakool,310627,February,2015
Banadir,901183,February,2015
Bari,367638,February,2015
Bay,620562,February,2015
Galgaduud,330057,February,2015
Gedo,328378,February,2015
Hiraan,329811,February,2015
Lower Juba,385790,February,2015
Lower Shabelle,850651,February,2015
Middle Juba,238877,February,2015
Middle Shabelle,514901,February,2015
North Mudug,192447,February,2015
Nugaal,145341,February,2015
Sanaag,270367,February,2015
Sool,150277,February,2015
South Mudug,157652,February,2015
Togdheer,402295,February,2015
Woqooyi Galbeed,700345,February,2015
Awdal,305455,March,2015
Bakool,310627,March,2015
Banadir,901183,March,2015
Bari,367638,March,2015
Bay,620562,March,2015
Galgaduud,330057,March,2015
Gedo,328378,March,2015
Hiraan,329811,March,2015
Lower Juba,385790,March,2015
Lower Shabelle,850651,March,2015
Middle Juba,238877,March,2015
Middle Shabelle,514901,March,2015
North Mudug,192447,March,2015
Nugaal,145341,March,2015
Sanaag,270367,March,2015
Sool,150277,March,2015
South Mudug,157652,March,2015
Togdheer,402295,March,2015
Woqooyi Galbeed,700345,March,2015
Awdal,305455,April,2015
Bakool,310627,April,2015
Banadir,901183,April,2015
Bari,367638,April,2015
Bay,620562,April,2015
Galgaduud,330057,April,2015
Gedo,328378,April,2015
Hiraan,329811,April,2015
Lower Juba,385790,April,2015
Lower Shabelle,850651,April,2015
Middle Juba,238877,April,2015
Middle Shabelle,514901,April,2015
North Mudug,192447,April,2015
Nugaal,145341,April,2015
Sanaag,270367,April,2015
Sool,150277,April,2015
South Mudug,157652,April,2015
Togdheer,402295,April,2015
Woqooyi Galbeed,700345,April,2015
Awdal,305455,May,2015
Bakool,310627,May,2015
Banadir,901183,May,2015
Bari,367638,May,2015
Bay,620562,May,2015
Galgaduud,330057,May,2015
Gedo,328378,May,2015
Hiraan,329811,May,2015
Lower Juba,385790,May,2015
Lower Shabelle,850651,May,2015
Middle Juba,238877,May,2015
Middle Shabelle,514901,May,2015
North Mudug,192447,May,2015
Nugaal,145341,May,2015
Sanaag,270367,May,2015
Sool,150277,May,2015
South Mudug,157652,May,2015
Togdheer,402295,May,2015
Woqooyi Galbeed,700345,May,2015
Awdal,305455,June,2015
Bakool,310627,June,2015
Banadir,901183,June,2015
Bari,367638,June,2015
Bay,620562,June,2015
Galgaduud,330057,June,2015
Gedo,328378,June,2015
Hiraan,329811,June,2015
Lower Juba,385790,June,2015
Lower Shabelle,850651,June,2015
Middle Juba,238877,June,2015
Middle Shabelle,514901,June,2015
North Mudug,192447,June,2015
Nugaal,145341,June,2015
Sanaag,270367,June,2015
Sool,150277,June,2015
South Mudug,157652,June,2015
Togdheer,402295,June,2015
Woqooyi Galbeed,700345,June,2015
Awdal,673264,February,2016
Bakool,367227,February,2016
Banadir,1650228,February,2016
Bari,730147,February,2016
Bay,792182,February,2016
Galgaduud,569434,February,2016
Gedo,508403,February,2016
Hiraan,520686,February,2016
Lower Juba,489307,February,2016
Lower Shabelle,1202219,February,2016
Middle Juba,362921,February,2016
Middle Shabelle,516035,February,2016
North Mudug,550679,February,2016
Nugaal,392698,February,2016
Sanaag,544123,February,2016
Sool,327427,February,2016
South Mudug,167183,February,2016
Togdheer,721363,February,2016
Woqooyi Galbeed,1242003,February,2016
Awdal,673264,March,2016
Bakool,367227,March,2016
Banadir,1650228,March,2016
Bari,730147,March,2016
Bay,792182,March,2016
Galgaduud,569434,March,2016
Gedo,508403,March,2016
Hiraan,520686,March,2016
Lower Juba,489307,March,2016
Lower Shabelle,1202219,March,2016
Middle Juba,362921,March,2016
Middle Shabelle,516035,March,2016
North Mudug,550679,March,2016
Nugaal,392698,March,2016
Sanaag,544123,March,2016
Sool,327427,March,2016
South Mudug,167183,March,2016
Togdheer,721363,March,2016
Woqooyi Galbeed,1242003,March,2016
Awdal,673264,April,2016
Bakool,367227,April,2016
Banadir,1650228,April,2016
Bari,730147,April,2016
Bay,792182,April,2016
Galgaduud,569434,April,2016
Gedo,508403,April,2016
Hiraan,520686,April,2016
Lower Juba,489307,April,2016
Lower Shabelle,1202219,April,2016
Middle Juba,362921,April,2016
Middle Shabelle,516035,April,2016
North Mudug,550679,April,2016
Nugaal,392698,April,2016
Sanaag,544123,April,2016
Sool,327427,April,2016
South Mudug,167183,April,2016
Togdheer,721363,April,2016
Woqooyi Galbeed,1242003,April,2016
Awdal,673264,May,2016
Bakool,367227,May,2016
Banadir,1650228,May,2016
Bari,730147,May,2016
Bay,792182,May,2016
Galgaduud,569434,May,2016
Gedo,508403,May,2016
Hiraan,520686,May,2016
Lower Juba,489307,May,2016
Lower Shabelle,1202219,May,2016
Middle Juba,362921,May,2016
