iso3,ipc phase cutoff,year,month,indicator,grouping,value
SOM,3,2010,1,Conflict,Typical,60
SOM,3,2010,1,Conflict,Heightened,2
SOM,3,2010,1,Conflict,Critical,12
SOM,3,2010,1,Drought NDVI,Typical,58
SOM,3,2010,1,Drought NDVI,Heightened,9
SOM,3,2010,1,Drought NDVI,Critical,7
SOM,3,2010,1,Drought rainfall,Typical,72
SOM,3,2010,1,Drought rainfall,Heightened,2
SOM,3,2010,1,Exchange rates,Typical,74
SOM,3,2010,1,Food prices,Typical,74
SOM,3,2010,1,Fuel prices,Typical,74
SOM,3,2010,1,Heavy rainfall,Typical,74
SOM,3,2010,2,Conflict,Typical,61
SOM,3,2010,2,Conflict,Heightened,10
SOM,3,2010,2,Conflict,Critical,3
SOM,3,2010,2,Drought NDVI,Typical,61
SOM,3,2010,2,Drought NDVI,Heightened,7
SOM,3,2010,2,Drought NDVI,Critical,6
SOM,3,2010,2,Drought rainfall,Typical,74
SOM,3,2010,2,Exchange rates,Typical,74
SOM,3,2010,2,Food prices,Typical,74
SOM,3,2010,2,Fuel prices,Typical,74
SOM,3,2010,2,Heavy rainfall,Typical,74
SOM,3,2010,3,Conflict,Typical,57
SOM,3,2010,3,Conflict,Heightened,11
SOM,3,2010,3,Conflict,Critical,6
SOM,3,2010,3,Drought NDVI,Typical,63
SOM,3,2010,3,Drought NDVI,Heightened,6
SOM,3,2010,3,Drought NDVI,Critical,5
SOM,3,2010,3,Drought rainfall,Typical,74
SOM,3,2010,3,Exchange rates,Typical,74
SOM,3,2010,3,Food prices,Typical,74
SOM,3,2010,3,Fuel prices,Typical,74
SOM,3,2010,3,Heavy rainfall,Typical,69
SOM,3,2010,3,Heavy rainfall,Heightened,5
SOM,3,2010,4,Conflict,Typical,49
SOM,3,2010,4,Conflict,Heightened,15
SOM,3,2010,4,Conflict,Critical,10
SOM,3,2010,4,Drought NDVI,Typical,69
SOM,3,2010,4,Drought NDVI,Heightened,1
SOM,3,2010,4,Drought NDVI,Critical,4
SOM,3,2010,4,Drought rainfall,Typical,74
SOM,3,2010,4,Exchange rates,Typical,74
SOM,3,2010,4,Food prices,Typical,74
SOM,3,2010,4,Fuel prices,Typical,74
SOM,3,2010,4,Heavy rainfall,Typical,67
SOM,3,2010,4,Heavy rainfall,Heightened,7
SOM,3,2010,5,Conflict,Typical,54
SOM,3,2010,5,Conflict,Heightened,14
SOM,3,2010,5,Conflict,Critical,6
SOM,3,2010,5,Drought NDVI,Typical,69
SOM,3,2010,5,Drought NDVI,Heightened,4
SOM,3,2010,5,Drought NDVI,Critical,1
SOM,3,2010,5,Drought rainfall,Typical,74
SOM,3,2010,5,Exchange rates,Typical,74
SOM,3,2010,5,Food prices,Typical,74
SOM,3,2010,5,Fuel prices,Typical,74
SOM,3,2010,5,Heavy rainfall,Typical,52
SOM,3,2010,5,Heavy rainfall,Heightened,19
SOM,3,2010,5,Heavy rainfall,Critical,3
SOM,3,2010,6,Conflict,Typical,58
SOM,3,2010,6,Conflict,Heightened,13
SOM,3,2010,6,Conflict,Critical,3
SOM,3,2010,6,Drought NDVI,Typical,74
SOM,3,2010,6,Drought rainfall,Typical,74
SOM,3,2010,6,Exchange rates,Typical,74
SOM,3,2010,6,Food prices,Typical,74
SOM,3,2010,6,Fuel prices,Typical,74
SOM,3,2010,6,Heavy rainfall,Typical,73
SOM,3,2010,6,Heavy rainfall,Heightened,1
SOM,3,2010,7,Conflict,Typical,64
SOM,3,2010,7,Conflict,Heightened,7
SOM,3,2010,7,Conflict,Critical,3
SOM,3,2010,7,Drought NDVI,Typical,74
SOM,3,2010,7,Drought rainfall,Typical,74
SOM,3,2010,7,Exchange rates,Typical,74
SOM,3,2010,7,Food prices,Typical,74
SOM,3,2010,7,Fuel prices,Typical,74
SOM,3,2010,7,Heavy rainfall,Typical,74
SOM,3,2010,8,Conflict,Typical,59
SOM,3,2010,8,Conflict,Heightened,9
SOM,3,2010,8,Conflict,Critical,6
SOM,3,2010,8,Drought NDVI,Typical,74
SOM,3,2010,8,Drought rainfall,Typical,74
SOM,3,2010,8,Exchange rates,Typical,74
SOM,3,2010,8,Food prices,Typical,74
SOM,3,2010,8,Fuel prices,Typical,74
SOM,3,2010,8,Heavy rainfall,Typical,74
SOM,3,2010,9,Conflict,Typical,65
SOM,3,2010,9,Conflict,Heightened,1
SOM,3,2010,9,Conflict,Critical,8
SOM,3,2010,9,Drought NDVI,Typical,74
SOM,3,2010,9,Drought rainfall,Typical,74
SOM,3,2010,9,Exchange rates,Typical,74
SOM,3,2010,9,Food prices,Typical,74
SOM,3,2010,9,Fuel prices,Typical,74
SOM,3,2010,9,Heavy rainfall,Typical,74
SOM,3,2010,10,Conflict,Typical,47
SOM,3,2010,10,Conflict,Heightened,22
SOM,3,2010,10,Conflict,Critical,5
SOM,3,2010,10,Drought NDVI,Typical,74
SOM,3,2010,10,Drought rainfall,Typical,72
SOM,3,2010,10,Drought rainfall,Heightened,2
SOM,3,2010,10,Exchange rates,Typical,74
SOM,3,2010,10,Food prices,Typical,74
SOM,3,2010,10,Fuel prices,Typical,74
SOM,3,2010,10,Heavy rainfall,Typical,74
SOM,3,2010,11,Conflict,Typical,50
SOM,3,2010,11,Conflict,Heightened,17
SOM,3,2010,11,Conflict,Critical,7
SOM,3,2010,11,Drought NDVI,Typical,68
SOM,3,2010,11,Drought NDVI,Heightened,2
SOM,3,2010,11,Drought NDVI,Critical,4
SOM,3,2010,11,Drought rainfall,Typical,69
SOM,3,2010,11,Drought rainfall,Heightened,4
SOM,3,2010,11,Drought rainfall,Critical,1
SOM,3,2010,11,Exchange rates,Typical,74
SOM,3,2010,11,Food prices,Typical,74
SOM,3,2010,11,Fuel prices,Typical,74
SOM,3,2010,11,Heavy rainfall,Typical,74
SOM,3,2010,12,Conflict,Typical,49
SOM,3,2010,12,Conflict,Heightened,21
SOM,3,2010,12,Conflict,Critical,4
SOM,3,2010,12,Drought NDVI,Typical,64
SOM,3,2010,12,Drought NDVI,Heightened,5
SOM,3,2010,12,Drought NDVI,Critical,5
SOM,3,2010,12,Drought rainfall,Typical,62
SOM,3,2010,12,Drought rainfall,Heightened,11
SOM,3,2010,12,Drought rainfall,Critical,1
SOM,3,2010,12,Exchange rates,Typical,74
SOM,3,2010,12,Food prices,Typical,74
SOM,3,2010,12,Fuel prices,Typical,74
