indicator,Unit,Date,Value
Household final consumption,US dollars,2012,5710264734
Household final consumption,US dollars,2013,6313495667
Household final consumption,US dollars,2014,6916956329
Household final consumption,US dollars,2015,7281761394
Household final consumption,US dollars,2016,7562873480
Household final consumption,US dollars,2017,7968000000
Household final consumption,US dollars,2018,8479000000
Household final consumption,US dollars,2019,9330000000
Household final consumption,US dollars,2020,9989000000
Household final consumption,US dollars,2021,10720000000
"GDP per capita, US Dollars",US dollars,2012,341.0134661
"GDP per capita, US Dollars",US dollars,2013,375.5824175
"GDP per capita, US Dollars",US dollars,2014,401.1533308
"GDP per capita, US Dollars",US dollars,2015,414.2630939
"GDP per capita, US Dollars",US dollars,2016,417.987054
"GDP per capita, US Dollars",US dollars,2017,412
"GDP per capita, US Dollars",US dollars,2018,419
"GDP per capita, US Dollars",US dollars,2019,451
"GDP per capita, US Dollars",US dollars,2020,466
"GDP per capita, US Dollars",US dollars,2021,502
Government final consumption,US dollars,2012,172656915.1
Government final consumption,US dollars,2013,269017449.4
Government final consumption,US dollars,2014,316144585.2
Government final consumption,US dollars,2015,324289767.7
Government final consumption,US dollars,2016,386948033.8
Government final consumption,US dollars,2017,486000000
Government final consumption,US dollars,2018,495000000
Government final consumption,US dollars,2019,529000000
Government final consumption,US dollars,2020,595000000
Government final consumption,US dollars,2021,677000000
Gross fixed capital formation,US dollars,2012,577238022.7
Gross fixed capital formation,US dollars,2013,609701330.8
Gross fixed capital formation,US dollars,2014,642164638.9
Gross fixed capital formation,US dollars,2015,674627947.1
Gross fixed capital formation,US dollars,2016,707091255.2
Gross fixed capital formation,US dollars,2017,784000000
Gross fixed capital formation,US dollars,2018,868000000
Gross fixed capital formation,US dollars,2019,917000000
Gross fixed capital formation,US dollars,2020,939000000
Gross fixed capital formation,US dollars,2021,1244000000
Minus: Imports of goods and services,US dollars,2012,3273732186
Minus: Imports of goods and services,US dollars,2013,3560952716
Minus: Imports of goods and services,US dollars,2014,3904049180
Minus: Imports of goods and services,US dollars,2015,3987254874
Minus: Imports of goods and services,US dollars,2016,4194168700
Minus: Imports of goods and services,US dollars,2017,4624000000
Minus: Imports of goods and services,US dollars,2018,5122000000
Minus: Imports of goods and services,US dollars,2019,5423000000
Minus: Imports of goods and services,US dollars,2020,5818000000
Minus: Imports of goods and services,US dollars,2021,6544000000
