adm1_name,adm2_name,mkt_name,c_maize_price,c_rice_price,c_sorghum_price,c_oil_price,c_food_price_index,Date,Population,Climate_Temperature,Climate_Precipitation,Climate_Humidity,Conflict_Critical,Conflict_Heightened,Conflict_Typical,Drought_NDVI_Critical,Drought_NDVI_Heightened,Drought_NDVI_Typical,Drought_rainfall_Critical,Drought_rainfall_Heightened,Drought_rainfall_Typical,Exchange_rates_Critical,Exchange_rates_Heightened,Exchange_rates_Typical,Food_prices_Critical,Food_prices_Heightened,Food_prices_Typical,Fuel_prices_Critical,Fuel_prices_Heightened,Fuel_prices_Typical,GLM_Estimated_population_living_in_areas_at_risk,GLM_Percentage_of_population_living_in_areas_at_risk,Heavy_rainfall_Critical,Heavy_rainfall_Heightened,Heavy_rainfall_Typical,ALCOHOLIC_BEVERAGES_TOBACCO_AND_NARCOTICS,ALL_GROUPS,CLOTHING_AND_FOOTWEAR,COMMUNICATION,EDUCATION,FOOD_AND_NON_ALCOHOLIC_BEVERAGES,FURNISHINGS_HOUSEHOLD_EQUIPMENT_AND_ROUTINE_MAINTENANCE_OF_THE_HOUSE,HEALTH,HOUSING_WATER_ELECTRICITY_GAS_AND_OTHER_FUELS,MISCELLANEOUS_GOODS_AND_SERVICES,RECREATION_AND_CULTURE,RESTAURANTS_AND_HOTELS,TRANSPORT,Exchange_Rate,"GDP_per_capita,_US_Dollars",Government_final_consumption,Gross_fixed_capital_formation,Household_final_consumption,Minus:_Imports_of_goods_and_services
Awdal,Borama,Borama,4000.0,4649.66,2646.02,34010.71,0.56,2015-01-01,,17.23,0.04,58.82,3.0,28.0,43.0,,2.0,72.0,,,74.0,,,74.0,2.0,21.0,53.0,,3.0,71.0,3664075.69,0.2734,,,74.0,1.138095562125,97.58555611,5.043140070200001,2.8350324603999995,3.9286067804,44.679411228636,2.9520769698600002,5.163283245000001,22.201190195162,2.80493704881,0.9973943572,1.8541694356,3.98821875166,22285.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4616.42,2635.47,33206.32,0.55,2015-02-01,305455.0,20.7,0.0,51.45,5.0,26.0,43.0,,3.0,71.0,,,74.0,,,74.0,1.0,13.0,61.0,,1.0,73.0,4056569.918,0.3027,,,74.0,1.138095562125,98.42550657,5.022539574923,2.8350324603999995,3.9286067804,44.990092933124,2.9556527154900003,5.163283245000001,22.807152597655,2.80493704881,0.9753297043000001,1.8541694356,3.9506145171999996,22196.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4500.0,2573.14,33318.08,0.55,2015-03-01,305455.0,22.65,0.6,52.05,,21.0,53.0,,2.0,72.0,,,74.0,,,74.0,,6.0,68.0,,1.0,73.0,4685040.497,0.3496,,1.0,73.0,1.1770715652500001,99.74662676,5.03015307296,2.8350324603999995,3.9354882896,45.79969253954,2.9693099113600003,5.16055237,23.214669970526,2.80812213885,1.001521277,1.8643986512000001,3.9506145171999996,22211.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4500.0,2625.0,33135.4,0.55,2015-04-01,305455.0,23.91,0.14,48.92,,10.0,64.0,,2.0,72.0,3.0,,74.0,,74.0,74.0,,11.0,63.0,,1.0,73.0,5697615.73,0.4251,,3.0,71.0,1.1770715652500001,100.034736,5.03015307296,2.8350324603999995,3.9492513076,45.844465698296,2.9800011268300004,5.15274698,23.41423465831,2.81015240758,1.00731546,1.8643986512000001,3.9699126420199997,22232.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4264.24,2094.63,32390.78,0.53,2015-05-01,305455.0,25.19,1.29,55.28,,15.0,59.0,,1.0,73.0,,,74.0,,74.0,74.0,,7.0,67.0,,3.0,71.0,5512621.698,0.4113,,,74.0,1.2271835693750002,99.98332706,5.03170221236,2.8578545967999998,3.9354882896,45.755379159243994,2.9450909708600004,5.16055237,23.52030801364,2.81637939805,1.0060654599999999,1.8643986512000001,3.86292438129,22265.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4047.06,4354.88,2156.19,32193.08,0.53,2015-06-01,305455.0,25.95,1.51,48.48,,15.0,59.0,1.0,,73.0,,,74.0,,,74.0,,4.0,70.0,,1.0,73.0,4786977.569,0.3572,,,74.0,1.2271835693750002,100.01735,5.03170221236,2.8578545967999998,3.9698958352,45.754994545688,2.9450909708600004,5.16055237,23.52030801364,2.81637939805,1.0060654599999999,1.8643986512000001,3.86292438129,22212.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4100.0,4533.46,2317.65,32934.31,0.55,2015-07-01,,26.2,0.28,46.35,,28.0,46.0,1.0,,73.0,,1.0,74.0,,,74.0,,3.0,71.0,,2.0,72.0,4340658.495,0.3239,,1.0,74.0,1.25086155,103.981608,5.1398560701900005,2.8968424127999994,4.115258504000001,47.67413588716,3.01929693903,5.308254945000001,24.81594008204,2.95466121346,1.02835681,1.8904900084,3.88765357565,22263.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4120.0,4510.2,2485.8,33737.36,0.56,2015-08-01,,25.1,1.74,51.44,5.0,27.0,42.0,3.0,1.0,73.0,1.0,3.0,71.0,,,74.0,,5.0,69.0,1.0,2.0,72.0,4589704.525,0.3425,,,74.0,1.25086155,105.2929745,5.16707327947,2.8968424127999994,4.130642612,48.731285879359994,3.0495526552200003,5.341342635,24.92411464874,2.9923104662199997,1.026181721,1.8918350496,3.8909316094999995,22273.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4062.8,4500.0,2500.0,34520.48,0.57,2015-09-01,,26.37,0.21,43.83,4.0,35.0,35.0,2.0,1.0,73.0,,3.0,71.0,,,74.0,,8.0,66.0,1.0,7.0,66.0,4653780.349,0.3473,,,74.0,1.25086155,105.328269,5.16718377348,2.8968424127999994,4.140964876,48.7477495992,3.0495411168800004,5.341342635,24.92411464874,2.99454234386,1.027431721,1.8918350496,3.89585924455,22269.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4047.28,4500.0,2500.0,35011.74,0.57,2015-10-01,,23.35,0.18,55.12,,26.0,48.0,1.0,1.0,72.0,2.0,3.0,69.0,,,74.0,,27.0,47.0,,12.0,62.0,5115386.806,0.3817,,15.0,59.0,1.233870761625,100.13349,5.04328269082,2.8578545967999998,3.987099608,45.832398674147996,2.9447996790500004,5.154352375,23.515448963809998,2.8317441947099997,1.00531546,1.8643986512000001,3.86292438129,22284.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
